alpha beta mean_E_X mean_E_Y mean_E_max_X mean_E_max_Y time E_std_row
1.25 4.5 0.019607459311163023 -0.005582174767359954 0.9855555555555555 0.9857777777777779 6792.797523412963 2
1.25 4.75 -0.004347755162569975 -0.006288065843621392 0.9918518518518518 0.9914074074074075 8715.351145606135 2
1.25 5.0 -0.0021547473399325247 -0.0005311978645311971 0.9954567901234568 0.9943703703703703 11264.074695597306 2
1.25 5.25 -0.028320172023875725 -0.018018314610907204 0.9970370370370369 0.9970370370370372 14968.506994969495 2
1.25 5.5 0.028159418677937188 0.016757794831868903 0.9983407407407408 0.9985185185185184 20267.555524498293 2
1.25 5.75 0.00539650761872982 -0.08363533904274645 0.9995259259259258 0.9995555555555555 27905.83177234017 2
1.25 6.0 0.36448507767026284 0.11807392577762944 10.0 10.0 40342.432320116684 2
1.25 6.25 0.9894715456196937 -0.001460126793460119 10.0 nan 54842.98474000332 2
1.25 6.5 0.9990514959403847 0.9852593334074814 10.0 10.0 71941.01402141692 2
1.25 6.75 0.9992561450339227 0.9892995217439663 10.0 10.0 93707.94758881567 2
1.25 7.0 0.9994091869647425 0.9919214028843659 10.0 9.999999999999998 121441.92684078868 2
1.5 0.0 0.0036021206391576672 0.000516961405850287 0.055407407407407426 nan 271.3304351454906 2
1.5 0.25 0.0020248396544692814 -0.0016938419901382916 nan 0.053629629629629694 308.0533521655312 2
1.5 0.5 0.004401141882623355 0.0004368813257702082 0.059555555555555584 0.05674074074074076 350.7549629812292 2
1.5 0.75 0.002993512030549061 0.0002381640900159367 0.0521481481481482 0.06325925925925929 399.9710191155519 2
1.5 1.0 0.0033826419011604176 -0.0019827234642049527 0.05925925925925929 0.06182716049382712 457.88370018578706 2
1.5 1.25 0.005230415600785965 -0.00049323397471546 0.0621350762527233 0.06851028806584362 525.7834210532174 2
1.5 1.5 0.00466036406777147 -0.004917806695584476 0.06421548821548823 0.06929629629629629 606.4304411747393 2
1.5 1.75 0.0035445816186556876 -0.002308382456530607 0.06531555555555556 0.06473525377229082 702.2584456619071 2
1.5 2.0 0.0046941756571386205 -0.004286063841619401 0.08458271604938274 0.08041890166028097 816.4683805026974 2
1.5 2.25 0.0028558929299670028 -0.0026162458755051394 0.09392592592592594 0.0890631808278867 958.5584367572072 2
1.5 2.5 -0.003208838468097731 -0.0032390909427946497 0.18686738351254478 0.15646846846846846 1137.991772973505 2
1.5 2.75 0.0051734697660623585 -0.0054783672561450345 0.5175111111111111 0.4994497354497354 1413.2345822601055 2
